Linux 3.10.0-957.21.3.el7.x86_64 (X05) 	05/26/2020 	_x86_64_	(88 CPU)

06:05:49 PM   UID       PID  minflt/s  majflt/s     VSZ    RSS   %MEM  Command
06:31:49 PM  8903     49400 165546.75      0.00 64848808 60587936  11.47  rsession
06:32:09 PM  8903     49400 130729.90      0.00 69208848 65008532  12.31  rsession
06:32:29 PM  8903     49400 123374.25      0.00 64848808 57316280  10.85  rsession
06:32:49 PM  8903     49400 142951.30      0.00 69208848 63049796  11.94  rsession
06:33:09 PM  8903     49400  96675.70      0.00 51768688 45701912   8.65  rsession
06:33:29 PM  8903     49400 135706.45      0.00 56128728 50754744   9.61  rsession
06:33:49 PM  8903     49400  63702.50      0.00 56128728 51928412   9.83  rsession
06:34:09 PM  8903     49400 153175.85      0.00 60488768 56288452  10.66  rsession
06:34:29 PM  8903     49400 118291.70      0.00 69208848 61359788  11.62  rsession
06:34:49 PM  8903     49400  87197.90      0.00 56128728 48751772   9.23  rsession
06:35:09 PM  8903     49400 119953.60      0.00 60488768 53044424  10.04  rsession
06:35:29 PM  8903     49400 123568.95      0.00 64848808 59374392  11.24  rsession
06:35:49 PM  8903     49400 145746.05      0.00 69208848 61827588  11.71  rsession
06:36:09 PM  8903     49400 116470.65      0.00 64848808 58330960  11.05  rsession
06:36:29 PM  8903     49400 146144.15      0.00 69208848 64647304  12.24  rsession
06:36:49 PM  8903     49400  78536.90      0.00 51768688 44650928   8.46  rsession
06:37:09 PM  8903     49400 139216.70      0.00 56128728 51210376   9.70  rsession
06:37:29 PM  8903     49400  62843.90      0.00 60488768 52305652   9.90  rsession
06:37:49 PM  8903     49400 139219.95      0.00 64848808 59455600  11.26  rsession
06:38:09 PM  8903     49400 124486.75      0.00 69208848 65008532  12.31  rsession
06:38:29 PM  8903     49400 115952.10      0.00 60488768 52328112   9.91  rsession
06:38:49 PM  8903     49400  92723.55      0.00 64848808 59723932  11.31  rsession
06:39:09 PM  8903     49400 117929.20      0.00 69208848 65008532  12.31  rsession
06:39:29 PM  8903     49400  88561.95      0.00 64848808 58593776  11.10  rsession
06:39:49 PM  8903     49400 137358.75      0.00 69208848 65008532  12.31  rsession
06:40:09 PM  8903     49400 109822.10      0.00 56128728 48213876   9.13  rsession
06:40:29 PM  8903     49400 107142.45      0.00 60488768 56288452  10.66  rsession
06:40:49 PM  8903     49400 103122.95      0.00 64848808 60648492  11.48  rsession
06:41:09 PM  8903     49400  86341.55      0.00 56128728 49576316   9.39  rsession
06:41:29 PM  8903     49400 134898.30      0.00 60488768 55839952  10.57  rsession
06:41:49 PM  8903     49400 130384.80      0.00 69208848 61872428  11.72  rsession
06:42:09 PM  8903     49400 118330.55      0.00 60488768 55181104  10.45  rsession
06:42:29 PM  8903     49400 101344.20      0.00 69208848 61806896  11.70  rsession
06:42:49 PM  8903     49400 168839.50      0.00 51768688 46622184   8.83  rsession
06:43:09 PM  8903     49400 158835.75      0.00 60488768 52979772  10.03  rsession
06:43:29 PM  8903     49400  75827.50      0.00 64848808 59025648  11.18  rsession
06:43:49 PM  8903     49400 129514.05      0.00 69208848 65008532  12.31  rsession
06:44:09 PM  8903     49400  72677.60      0.00 60488768 53192232  10.07  rsession
06:44:29 PM  8903     49400 151774.50      0.00 64848808 60414660  11.44  rsession
06:44:49 PM  8903     49400 120496.45      0.00 60488768 52976676  10.03  rsession
06:45:09 PM  8903     49400  91101.10      0.00 64848808 60239996  11.41  rsession
06:45:29 PM  8903     49400 122465.80      0.00 56128728 48559000   9.20  rsession
06:45:49 PM  8903     49400  93968.30      0.00 56128728 50299144   9.52  rsession
06:46:09 PM  8903     49400 188742.40      0.00 64848808 57212892  10.83  rsession
06:46:29 PM  8903     49400  70078.15      0.00 69208848 62255104  11.79  rsession
06:46:49 PM  8903     49400 151041.75      0.00 56128728 50417944   9.55  rsession
06:47:09 PM  8903     49400 103956.20      0.00 60488768 56288452  10.66  rsession
06:47:29 PM  8903     49400  94354.55      0.00 64848808 60648492  11.48  rsession
06:47:49 PM  8903     49400 124214.75      0.00 60488768 52736396   9.99  rsession
06:48:09 PM  8903     49400  88009.80      0.00 64848808 58981760  11.17  rsession
06:48:29 PM  8903     49400 147485.10      0.00 69208848 64701644  12.25  rsession
06:48:49 PM  8903     49400  93834.35      0.00 51768688 47568372   9.01  rsession
06:49:09 PM  8903     49400 123941.55      0.00 60488768 53096996  10.05  rsession
06:49:29 PM  8903     49400  88761.90      0.00 64848808 60173472  11.39  rsession
06:49:49 PM  8903     49400 115635.20      0.00 69208848 65008532  12.31  rsession
06:50:09 PM  8903     49400 115806.20      0.00 51768688 47568372   9.01  rsession
06:50:29 PM  8903     49400 124644.70      0.00 60488768 52534840   9.95  rsession
06:50:49 PM  8903     49400  98158.30      0.00 64848808 57720800  10.93  rsession
06:51:09 PM  8903     49400 127321.95      0.00 69208848 65008532  12.31  rsession
06:51:29 PM  8903     49400 108890.45      0.00 60488768 52427200   9.93  rsession
06:51:49 PM  8903     49400 127236.40      0.00 60488768 56288452  10.66  rsession
06:52:09 PM  8903     49400  13110.60      0.00 60488768 56288452  10.66  rsession
06:52:29 PM  8903     49400    260.30      0.00 60488768 56288452  10.66  rsession
06:52:49 PM  8903     49400    340.50      0.00 60488768 56288452  10.66  rsession
06:53:09 PM  8903     49400    609.35      0.00 60488768 56288452  10.66  rsession
06:53:29 PM  8903     49400    212.50      0.00 60488768 56288452  10.66  rsession
06:53:49 PM  8903     49400    541.55      0.00 60488768 56288452  10.66  rsession
